iter	RMSE
173	0.3740751902
174	0.3722992069
175	0.370507964
176	0.368725214
177	0.3671352276
178	0.3653929193
179	0.3636360122
180	0.3618885875
181	0.3601505884
182	0.3584219586
183	0.3567231007
184	0.3550327244
185	0.3533507859
186	0.3516573765
187	0.3500139057
188	0.3483592326
189	0.3466911037
190	0.3450684694
191	0.3434172234
192	0.3417748526
193	0.3401413043
194	0.3385497965
195	0.3369327595
196	0.3353420882
197	0.3337416818
198	0.3321804318
199	0.3306112608
200	0.3290350775
201	0.3274766467
202	0.3259304942
203	0.3243729364
204	0.3228421801
205	0.3213322913
206	0.3198030763
207	0.3182820409
208	0.3167691376
209	0.3152762827
210	0.313784309
211	0.3123062607
212	0.3108466974
213	0.3093935154
214	0.3079367906
215	0.3064973575
216	0.3050646893
217	0.3036389694
218	0.3021986007
219	0.3007659132
220	0.2993408627
221	0.2979316708
222	0.2965294781
223	0.2951438136
224	0.2937644589
225	0.2923915507
226	0.2910079444
227	0.2896407678
228	0.2882715458
229	0.2869157025
230	0.2855752058
231	0.2842324291
232	0.2828889591
233	0.2815591465
234	0.2802437579
235	0.2789345466
236	0.2776314835
237	0.2763262575
238	0.2750280433
239	0.2737304346
240	0.2724369156
241	0.2711497312
242	0.2698825129
243	0.268621217
244	0.2673592589
245	0.2660900596
246	0.2648470977
247	0.2635994398
248	0.2623490503
249	0.2611184458
250	0.259885504
251	0.2586716258
252	0.2574634446
253	0.2562601892
254	0.2550632981
255	0.2538684185
256	0.2526795612
257	0.2514986632
258	0.2503232842
259	0.24914961
260	0.2479852092
261	0.2468271628
262	0.2456692829
263	0.2445171187
264	0.2433752936
265	0.2422388265
266	0.2411067233
267	0.2400752533
268	0.238947957
269	0.2378312337
270	0.2367207559
271	0.2356000504
272	0.2344989736
273	0.2334030426
274	0.2323132467
275	0.2312236083
276	0.2301429847
277	0.2290684991
278	0.2279990546
279	0.2269319313
280	0.2258725109
281	0.2248168957
282	0.2237662139
283	0.2227215969
284	0.2216807075
285	0.2206434918
286	0.2196135014
287	0.2185883436
288	0.2175659295
289	0.2165491351
290	0.2155370927
291	0.21452978
292	0.2135284014
293	0.2125317211
294	0.2115384541
295	0.2105498291
296	0.2095670759
297	0.2085876642
298	0.2076140935
299	0.2066450909
300	0.2056789279
301	0.2047190055
302	0.2037622512
303	0.202811298
304	0.201864807
305	0.2009227573
306	0.199985128
307	0.1990504975
308	0.1981216295
309	0.1971971202
310	0.1962769492
311	0.1953596489
312	0.1944480762
313	0.1935407812
314	0.1926363768
315	0.1917375836
316	0.1908322925
317	0.1899419184
318	0.1890542248
319	0.1881721703
320	0.187294255
321	0.1864189353
322	0.1855492233
323	0.1846835927
324	0.1838220243
325	0.182964499
326	0.1821109981
327	0.1812615026
328	0.180414377
329	0.1795712104
330	0.1787319843
331	0.1778966804
332	0.1770668671
333	0.1762393451
334	0.1754156905
335	0.1745974735
336	0.1737830965
337	0.1729725416
338	0.172165791
339	0.1713628268
340	0.1705636313
341	0.1697665021
342	0.1689730984
343	0.1681834026
344	0.1673973974
345	0.1666167191
346	0.1658380359
347	0.1650629918
348	0.1642932235
349	0.1635253992
350	0.1627628246
351	0.1620038295
352	0.1612467046
353	0.1604948027
354	0.1597447302
355	0.1589981632
356	0.1582550852
357	0.1575154801
358	0.1567809999
359	0.1560499674
360	0.1553206679
361	0.1545947768
362	0.1538722781
363	0.1531531559
364	0.1524373947
365	0.1517266378
366	0.1510192175
367	0.1503134292
368	0.1496126204
369	0.1489134058
370	0.1482191468
371	0.1475264446
372	0.1468369797
373	0.1461507371
374	0.1454677016
375	0.1447878583
376	0.1441111922
377	0.1434376886
378	0.14276898
379	0.1421017492
380	0.1414376367
381	0.1407766279
382	0.1401203467
383	0.1394654943
384	0.138815347
385	0.1381682521
386	0.1375225228
387	0.1368798112
388	0.1362401034
389	0.1356033853
390	0.1349696429
391	0.1343388622
392	0.1337110295
393	0.1330877496
394	0.132465764
395	0.1318466852
396	0.1312304997
397	0.130617194
398	0.1300067545
399	0.1293991679
400	0.1287944209
401	0.1281925002
402	0.1275933925
403	0.1269970848
404	0.1264051212
405	0.1258143669
406	0.1252263734
407	0.124641128
408	0.1240586176
409	0.1234803707
410	0.1229032852
411	0.1223288967
412	0.1217571925
413	0.1211881603
414	0.1206217874
415	0.1200580615
416	0.1194969701
417	0.118938501
418	0.1183826419
419	0.1178293806
420	0.117278705
421	0.116730603
422	0.1161850625
423	0.1156420716
424	0.1151016184
425	0.114563691
426	0.1140282775
427	0.1134953664
428	0.1129649458
429	0.1124370041
430	0.1119115297
431	0.1113885112
432	0.110867937
433	0.1103497957
434	0.1098340759
435	0.1093207663
436	0.1088098557
437	0.1083013328
438	0.1077951866
439	0.1072914057
440	0.1067899794
441	0.1062908964
442	0.1057941459
443	0.1052997169
444	0.1048075987
445	0.1043177804
446	0.1038302512
447	0.1033450005
448	0.1028620176
449	0.102381292
450	0.101902813
451	0.1014265702
452	0.1009525531
453	0.1004807514
454	0.1000111546
455	0.09954375243
456	0.0990785347
457	0.09861549116
458	0.09815461165
459	0.09769588606
460	0.09723930433
461	0.09678485644
462	0.0963325324
463	0.0958823223
464	0.09543421626
465	0.09498820445
466	0.09454427707
467	0.09410242438
468	0.09366263669
469	0.09322490435
470	0.09278921775
471	0.09235556734
472	0.09192394359
473	0.09149433703
474	0.09106673824
475	0.09064113783
476	0.09021752646
477	0.08979589485
478	0.08937623372
479	0.08895853389
480	0.08854278617
481	0.08812898145
482	0.08771711065
483	0.08730716473
484	0.08689913469
485	0.08649301158
486	0.08608878648
487	0.08568645053
488	0.0852859949
489	0.08488741079
490	0.08449068947
491	0.08409582223
492	0.08370280039
493	0.08331161535
494	0.08292225851
495	0.08253472133
496	0.0821489953
497	0.08176507196
498	0.08138294289
499	0.0810025997
500	0.08062403405
501	0.08024723762
502	0.07987220215
503	0.0794989194
504	0.0791273812
505	0.07875757938
506	0.07838950582
507	0.07802315246
508	0.07765851125
509	0.07729557419
510	0.07693433332
511	0.07657478071
512	0.07621690846
513	0.07586070874
514	0.07550617371
515	0.0751532956
516	0.07480206667
517	0.0744524792
518	0.07410452554
519	0.07375819803
520	0.07341348909
521	0.07307039114
522	0.07272889666
523	0.07238899815
524	0.07205068817
525	0.07171395927
526	0.07137880407
527	0.07104521523
528	0.07071318541
529	0.07038270733
530	0.07005377374
531	0.06972637743
532	0.0694005112
533	0.0690761679
534	0.06875334043
535	0.06843202168
536	0.06811220462
537	0.06779388223
538	0.06747704752
539	0.06716169353
540	0.06684781335
541	0.06653540009
542	0.06622444689
543	0.06591494693
544	0.06560689342
545	0.0653002796
546	0.06499509874
547	0.06469134414
548	0.06438900914
549	0.0640880871
550	0.06378857142
551	0.06349045553
552	0.06319373288
553	0.06289839696
554	0.0626044413
555	0.06231185944
556	0.06202064496
557	0.06173079147
558	0.06144229261
559	0.06115514205
560	0.06086933349
561	0.06058486065
562	0.0603017173
563	0.06001989722
564	0.05973939423
565	0.05946020216
566	0.0591823149
567	0.05890572635
568	0.05863043043
569	0.05835642111
570	0.05808369237
571	0.05781223823
572	0.05754205273
573	0.05727312994
574	0.05700546397
575	0.05673904893
576	0.05647387898
577	0.0562099483
578	0.0559472511
579	0.05568578162
580	0.05542553411
581	0.05516650287
582	0.05490868222
583	0.05465206649
584	0.05439665005
585	0.0541424273
586	0.05388939266
587	0.05363754058
588	0.05338686553
589	0.05313736201
590	0.05288902455
591	0.05264184769
592	0.05239582601
593	0.05215095411
594	0.05190722662
595	0.05166463819
596	0.0514231835
597	0.05118285725
598	0.05094365416
599	0.05070556899
600	0.05046859651
601	0.05023273152
602	0.04999796885
603	0.04976430334
604	0.04953172986
605	0.04930024332
606	0.04906983863
607	0.04884051073
608	0.0486122546
609	0.04838506522
610	0.04815893762
611	0.04793386682
612	0.04770984789
613	0.04748687591
614	0.04726494599
615	0.04704405326
616	0.04682419288
617	0.04660536001
618	0.04638754985
619	0.04617075764
620	0.0459549786
621	0.045740208
622	0.04552644113
623	0.04531367331
624	0.04510189985
625	0.04489111612
626	0.04468131749
627	0.04447249934
628	0.04426465712
629	0.04405778624
630	0.04385188217
631	0.04364694039
632	0.04344295641
633	0.04323992575
634	0.04303784396
635	0.04283670659
636	0.04263650924
637	0.04243724751
638	0.04223891703
639	0.04204151345
640	0.04184503243
641	0.04164946967
642	0.04145482087
643	0.04126108176
644	0.04106824809
645	0.04087631563
646	0.04068528017
647	0.04049513751
648	0.04030588348
649	0.04011751393
650	0.03993002473
651	0.03974341175
652	0.03955767091
653	0.03937279814
654	0.03918878936
655	0.03900564055
656	0.03882334769
657	0.03864190677
658	0.03846131381
659	0.03828156486
660	0.03810265596
661	0.0379245832
662	0.03774734266
663	0.03757093045
664	0.0373953427
665	0.03722057556
666	0.0370466252
667	0.03687348779
668	0.03670115955
669	0.03652963667
670	0.03635891541
671	0.03618899202
672	0.03601986276
673	0.03585152393
674	0.03568397183
675	0.03551720279
676	0.03535121314
677	0.03518599924
678	0.03502155747
679	0.03485788422
680	0.03469497589
681	0.03453282892
682	0.03437143974
683	0.03421080481
684	0.03405092062
685	0.03389178363
686	0.03373339038
687	0.03357573738
688	0.03341882117
689	0.0332626383
690	0.03310718536
691	0.03295245893
692	0.03279845561
693	0.03264517202
694	0.03249260481
695	0.03234075062
696	0.03218960612
697	0.03203916799
698	0.03188943294
699	0.03174039767
700	0.03159205892
701	0.03144441343
702	0.03129745796
703	0.03115118929
704	0.0310056042
705	0.03086069951
706	0.03071647203
707	0.03057291859
708	0.03043003605
709	0.03028782128
710	0.03014627114
711	0.03000538254
712	0.02986515238
713	0.02972557759
714	0.0295866551
715	0.02944838187
716	0.02931075485
717	0.02917377104
718	0.02903742742
719	0.028901721
720	0.0287666488
721	0.02863220787
722	0.02849839524
723	0.02836520799
724	0.02823264319
725	0.02810069793
726	0.02796936931
727	0.02783865446
728	0.02770855051
729	0.0275790546
730	0.02745016388
731	0.02732187554
732	0.02719418675
733	0.02706709472
734	0.02694059665
735	0.02681468977
736	0.02668937131
737	0.02656463853
738	0.02644048869
739	0.02631691907
740	0.02619392694
741	0.02607150962
742	0.02594966442
743	0.02582838866
744	0.02570767969
745	0.02558753484
746	0.0254679515
747	0.02534892702
748	0.02523045881
749	0.02511254426
750	0.02499518078
751	0.0248783658
752	0.02476209676
753	0.0246463711
754	0.02453118628
755	0.02441653978
756	0.02430242908
757	0.02418885168
758	0.02407580507
759	0.0239632868
760	0.02385129438
761	0.02373982535
762	0.02362887727
763	0.02351844771
764	0.02340853425
765	0.02329913446
766	0.02319024595
767	0.02308186634
768	0.02297399323
769	0.02286662427
770	0.0227597571
771	0.02265338938
772	0.02254751876
773	0.02244214293
774	0.02233725957
775	0.02223286639
776	0.02212896109
777	0.02202554138
778	0.02192260501
779	0.02182014972
780	0.02171817325
781	0.02161667336
782	0.02151564784
783	0.02141509446
784	0.02131501101
785	0.02121539531
786	0.02111624515
787	0.02101755838
788	0.02091933282
789	0.02082156632
790	0.02072425672
791	0.02062740191
792	0.02053099974
793	0.02043504811
794	0.02033954492
795	0.02024448805
796	0.02014987543
797	0.02005570499
798	0.01996197465
799	0.01986868236
800	0.01977582607
801	0.01968340375
802	0.01959141336
803	0.01949985289
804	0.01940872032
805	0.01931801367
806	0.01922773093
807	0.01913787013
808	0.01904842929
809	0.01895940645
810	0.01887079967
811	0.01878260698
812	0.01869482647
813	0.01860745619
814	0.01852049425
815	0.01843393872
816	0.0183477877
817	0.01826203931
818	0.01817669167
819	0.0180917429
820	0.01800719114
821	0.01792303453
822	0.01783927123
823	0.01775589939
824	0.0176729172
825	0.01759032282
826	0.01750811444
827	0.01742629027
828	0.0173448485
829	0.01726378735
830	0.01718310503
831	0.01710279979
832	0.01702286986
833	0.01694331347
834	0.01686412889
835	0.01678531439
836	0.01670686822
837	0.01662878867
838	0.01655107402
839	0.01647372258
840	0.01639673263
841	0.0163201025
842	0.0162438305
843	0.01616791496
844	0.01609235421
845	0.01601714659
846	0.01594229045
847	0.01586778416
848	0.01579362607
849	0.01571981455
850	0.015646348
851	0.01557322479
852	0.01550044332
853	0.015428002
854	0.01535589923
855	0.01528413344
856	0.01521270304
857	0.01514160647
858	0.01507084217
859	0.01500040859
860	0.01493030418
861	0.0148605274
862	0.01479107672
863	0.01472195062
864	0.01465314759
865	0.0145846661
866	0.01451650466
867	0.01444866178
868	0.01438113595
869	0.01431392571
870	0.01424702958
871	0.01418044609
872	0.01411417377
873	0.01404821118
874	0.01398255686
875	0.01391720938
876	0.0138521673
877	0.0137874292
878	0.01372299365
879	0.01365885924
880	0.01359502456
881	0.01353148821
882	0.0134682488
883	0.01340530494
884	0.01334265524
885	0.01328029834
886	0.01321823287
887	0.01315645745
888	0.01309497075
889	0.0130337714
890	0.01297285807
891	0.01291222942
892	0.01285188411
893	0.01279182083
894	0.01273203826
895	0.01267253507
896	0.01261330998
897	0.01255436168
898	0.01249568887
899	0.01243729026
900	0.01237916459
901	0.01232131056
902	0.01226372691
903	0.01220641238
904	0.01214936571
905	0.01209258565
906	0.01203607095
907	0.01197982038
908	0.01192383268
909	0.01186810665
910	0.01181264105
911	0.01175743467
912	0.0117024863
913	0.01164779473
914	0.01159335876
915	0.0115391772
916	0.01148524885
917	0.01143157254
918	0.01137814709
919	0.01132497132
920	0.01127204406
921	0.01121936416
922	0.01116693046
923	0.01111474181
924	0.01106279707
925	0.01101109508
926	0.01095963473
927	0.01090841488
928	0.0108574344
929	0.01080669218
930	0.0107561871
931	0.01070591806
932	0.01065588395
933	0.01060608368
934	0.01055651614
935	0.01050718026
936	0.01045807496
937	0.01040919914
938	0.01036055175
939	0.01031213171
940	0.01026393796
941	0.01021596945
942	0.01016822511
943	0.01012070391
944	0.0100734048
945	0.01002632674
946	0.009979468704
947	0.009932829657
948	0.009886408576
949	0.009840204445
950	0.009794216249
951	0.009748442979
952	0.00970288363
953	0.009657537202
954	0.009612402701
955	0.009567479137
956	0.009522765522
957	0.009478260876
958	0.009433964223
959	0.00938987459
960	0.009345991011
961	0.009302312522
962	0.009258838163
963	0.009215566983
964	0.009172498029
965	0.009129630359
966	0.009086963031
967	0.009044495109
968	0.00900222566
969	0.008960153758
970	0.008918278479
971	0.008876598903
972	0.008835114118
973	0.008793823211
974	0.008752725278
975	0.008711819416
976	0.008671104727
977	0.008630580318
978	0.008590245301
979	0.008550098788
980	0.008510139901
981	0.008470367761
982	0.008430781497
983	0.008391380239
984	0.008352163123
985	0.008313129288
986	0.008274277878
987	0.008235608039
988	0.008197118925
989	0.008158809688
990	0.008120679491
991	0.008082727494
992	0.008044952867
993	0.008007354779
994	0.007969932406
995	0.007932684926
996	0.007895611522
997	0.007858711381
998	0.007821983693
999	0.007785427652
